"","Sex","Condition","conc_fecal_iga","prop_bound_bac"
"1","Male","Control",16.7,11
"2","Male","Control",52.8,19.7
"3","Male","Control",6.7,12.4
"4","Male","Control",0,8.52
"5","Male","Control",1,12.1
"6","Male","Control",14,7.96
"7","Male","Control",0,27.4
"8","Male","Control",15.5,14.3
"9","Male","Stress",15.5,18.6
"10","Male","Stress",53.2,39.7
"11","Male","Stress",38,19
"12","Male","Stress",9.5,17.1
"13","Male","Stress",15.2,17.4
"14","Male","Stress",16,25.8
"15","Male","Stress",10,6.09
"16","Male","Stress",16,15
"17","Female","Control",19,11.5
"18","Female","Control",49.7,13.9
"19","Female","Control",60.8,15.6
"20","Female","Control",0,5.47
"21","Female","Control",0,17
"22","Female","Control",1.1,3.86
"23","Female","Control",0,4.38
"24","Female","Control",39.2,15.5
"25","Female","Stress",12.1,14.8
"26","Female","Stress",43.5,17
"27","Female","Stress",38.1,18.5
"28","Female","Stress",41.7,22.6
"29","Female","Stress",19,39
"30","Female","Stress",23.5,26
"31","Female","Stress",20.8,31.7
"32","Female","Stress",17.7,20.9
